date,open,high,low,close,volume
2015-01-01,146.5421375172615,160.65230508983092,146.2896963498701,158.22372436523438,9700880
2015-01-02,160.3389412709775,161.34867939331488,151.72138119361512,152.5135040283203,8647765
2015-01-05,152.97483359411345,154.5590658386182,150.78126797338652,151.8345184326172,2144825
2015-01-06,150.241601662639,150.98148567998783,146.759757019539,148.53549194335938,2014545
2015-01-07,148.85754626486397,152.67886991984597,146.25487610556414,148.84884643554688,2723110
2015-01-08,150.58975224622654,150.763841788919,147.51702599418147,148.43971252441406,2449270
2015-01-09,149.02293898935585,149.9630385795814,146.23746610101117,146.681396484375,1510615
2015-01-12,147.2820285754782,150.5549711034515,146.44639328310708,149.75413513183594,2569495
2015-01-13,149.42335188679772,151.72136860219314,148.31786259835985,150.2677001953125,2295465
2015-01-14,149.75412335821756,150.36345676030427,147.21237851362943,148.091552734375,752125
2015-01-15,148.94461150428657,151.75619736766544,146.93384832438286,148.28306579589844,1748090
2015-01-16,147.63019126869585,149.19701044672763,147.28199889854815,147.85650634765625,1086025
2015-01-19,147.83913245074018,150.41570354154433,147.83913245074018,149.5452423095703,1163440
2015-01-20,150.06747331477348,155.23801385667542,148.90105874518227,151.9824981689453,4816765
2015-01-21,152.67887498586967,153.02706740283884,149.94562760302895,151.05111694335938,1474050
2015-01-22,151.46896045983095,153.53196269683224,150.32865832392508,151.1555938720703,1556770
2015-01-23,151.80838412857221,154.07158790788776,148.27431480227455,151.54725646972656,2683075
2015-01-27,152.80072861456551,153.60156447801373,150.42437363998906,151.02499389648438,1152045
2015-01-28,151.22521189508166,152.10438615732178,148.3265746712483,148.96202087402344,1603345
2015-01-29,149.52781544657947,154.20218757684995,147.75208054281433,152.3394012451172,4037275
2015-01-30,153.72344154682,157.53605228110038,151.6517397980119,153.34913635253906,3483340
2015-02-02,153.34912074310157,155.81252709494487,151.1120427636124,152.02601623535156,1541165
2015-02-03,152.5047862998639,153.26209650978456,150.01526695342238,150.3895721435547,1011155
2015-02-04,151.90418481019665,152.12180011819015,149.04037320116328,149.5452423095703,907120
2015-02-05,149.89341465336236,155.37732282113322,149.1970430431054,149.9978790283203,2455165
2015-02-06,150.50274136789778,151.46025403385912,147.64762959581125,148.05674743652344,1088355
2015-02-09,147.02087109039564,150.15453629108234,146.43766376069212,148.03060913085938,850040
2015-02-10,147.64760316967943,150.41567629263574,145.14938413678382,146.63787841796875,1424170
