date,close,high,low,open,volume
2015-01-01,73.58759307861328,74.11994582637432,73.30094604656074,73.54664533808655,4227841
2015-01-02,73.48931121826172,74.61134604822989,73.26817801556179,74.15270440217922,7982261
2015-01-05,73.77596282958984,74.22641363207185,72.97333836282672,73.57940212900594,7424057
2015-01-06,71.73664093017578,73.18627695247116,71.44998748904784,72.9078207680358,9577915
2015-01-07,71.61378479003906,72.03966307263377,70.51631612021293,71.2534203132142,7526159
2015-01-08,74.02985382080078,74.27555309343668,71.85129799959748,72.40003237105438,8119699
2015-01-09,72.19527435302734,74.76695134919741,71.58101980241233,74.76695134919741,9716623
2015-01-12,72.88324737548828,73.31732294810479,71.1879056712527,71.87587135183848,6675965
2015-01-13,72.8423080444336,73.39922689492226,72.12157895102916,73.01429627233826,7931555
2015-01-14,71.8431167602539,73.14533721230613,71.35171814936731,73.05524446902483,4865652
2015-01-15,74.97990417480469,76.68343035206674,74.02985751770188,76.23297952167891,11638589
2015-01-16,74.51306915283203,75.33206888281256,73.9070053696534,74.99627687354038,6183231
2015-01-19,76.07736206054688,76.41315406139475,74.34107265482356,74.94713642279733,11235024
2015-01-20,77.01922607421875,77.3959722765871,75.85624340720288,76.16746294465253,8350835
2015-01-21,76.97008514404297,77.86280241186176,76.27392859241601,77.16664586023482,11087952
2015-01-22,76.24935913085938,77.4451050406214,75.47130070933638,77.36320313980072,8317123
2015-01-23,76.82266235351562,77.47787115948339,75.52044842274042,77.26492877935756,6803816
2015-01-27,76.91275024414062,77.55976175236528,75.3484490350286,77.55976175236528,8957864
2015-01-28,77.98565673828125,78.40335069433343,76.00366136746388,76.16746518621561,10299435
2015-01-29,77.10932159423828,78.08394083148113,76.18384735745623,77.90375534482435,8491548
2015-01-30,72.5884017944336,77.8054672831031,72.35089335557326,77.23216041824215,11823064
2015-02-02,74.4885025024414,74.75877429756271,71.81854788357415,72.54746136225647,7409982
2015-02-03,71.9741439819336,75.59415119846985,71.45817296592013,74.73419093953822,10121309
2015-02-04,74.21822357177734,75.25017207871237,68.83736068594149,72.07243108328217,44482370
2015-02-05,70.3607177734375,74.6932507101468,69.82017420741595,74.6932507101468,15576862
2015-02-06,67.93646240234375,70.53270582529254,67.64980895455538,70.34433594572796,18638812
2015-02-09,65.75790405273438,68.46881260933142,65.39753954811381,67.30582361984973,10208133
2015-02-10,65.21736145019531,67.71532767307156,64.25093315176612,65.01260990982243,16514687
2015-02-11,66.14282989501953,66.83079552541349,65.29106690093003,65.32382380399642,9062958
