date,close,high,low,open,volume
2018-04-02,470.4914855957031,472.8454782362733,457.6980473317347,461.6691105791232,352730
2018-04-03,462.03753662109375,469.57032249558193,461.1164091358147,467.1139825348378,115130
2018-04-04,456.8382568359375,466.7045446713996,456.4697958847461,462.6106451567382,163364
2018-04-05,456.0399475097656,463.1224141423057,454.2181820913929,459.3355568332968,149988
2018-04-06,451.4957275390625,458.04596719136606,450.34946558452697,451.7618410198099,146026
2018-04-09,452.1506958007813,455.2416098139916,450.53362553983607,450.53362553983607,119028
2018-04-10,451.2705993652344,454.4228822523749,447.0743520291201,454.341024245318,107306
2018-04-11,449.2236633300781,452.7853363113164,448.2820463480031,451.147776324657,79912
2018-04-12,444.658935546875,449.5306862903264,442.1821061849533,448.6914168438933,109438
2018-04-13,459.7653198242188,470.7983569829042,452.41674157191903,456.4697113355984,289764
2018-04-16,469.938720703125,474.851399968304,460.1542911717718,460.5636811105367,270532
2018-04-17,469.3245849609375,476.5298371079048,467.5232594306076,473.6641078469466,123586
2018-04-18,462.6106262207031,472.84537458841777,460.5636765471602,472.4359846537092,83918
2018-04-19,467.1343994140625,472.1903550525029,462.2421597680659,465.8857401383603,101248
2018-04-20,460.788818359375,469.1198927648617,457.69790464861694,467.1957302651799,69878
2018-04-23,463.1429748535156,470.3891586126304,459.478903990231,463.4295278933835,79814
2018-04-24,462.9382934570313,468.5469172119781,462.6107614237967,465.8653923661888,60078
2018-04-25,460.74798583984375,469.120041875569,459.68358176465046,463.02012047915736,69828
2018-04-26,462.7948913574219,465.8858057526441,460.5637359153994,461.38251589036014,32780
2018-04-27,460.8912048339844,464.6370827274113,459.3355031046714,463.695515869654,33144
2018-04-30,460.297607421875,464.4119966516593,458.1073810551344,464.4119966516593,37230
2018-05-02,456.1627807617188,463.4089633472329,454.9346108337088,458.1073831477346,37722
2018-05-03,448.2820129394531,456.46981226254815,445.9075311460112,456.0809117844456,38088
2018-05-04,447.6883850097656,452.3758797925335,446.235030745576,452.3758797925335,24564
2018-05-07,453.6655578613281,459.3560890991233,442.980488400068,446.4398140579965,42232
2018-05-08,452.1097717285156,458.0664153648159,449.91954553719614,452.4577431837865,25240
2018-05-09,447.64739990234375,451.9459941763086,446.2350246306409,450.3289239391788,19522
