date,open,high,low,close,volume
2020-08-21,105.9675840614249,111.24356842041016,105.9675840614249,111.24356842041016,807716
2020-08-24,116.76842498779295,116.76842498779295,116.76842498779295,116.76842498779295,56263
2020-08-25,122.59191131591795,122.59191131591795,122.59191131591795,122.59191131591795,45326
2020-08-26,128.71404940545025,128.71404940545025,116.469786736273,123.43806457519533,3240477
2020-08-27,122.44259075060936,122.44259075060936,117.2661590576172,117.2661590576172,771809
2020-08-28,111.44266510009766,116.46978269003122,111.44266510009766,111.44266510009766,820058
2020-08-31,106.71418615140674,106.81373904553595,105.91781616210938,105.91781616210938,519749
2020-09-01,100.64184052152734,109.99924377323735,100.64184052152734,105.2209930419922,803353
2020-09-02,100.64183680609828,109.50150559601234,100.64183680609828,105.96759033203124,181669
2020-09-03,106.51509459493413,111.24356842041016,102.63276719821094,111.24356842041016,849547
2020-09-04,106.5151015672663,120.35211160758544,104.82280859898538,114.72771453857422,1513362
2020-09-07,115.12590665223748,118.16208031113858,112.13950184981792,112.8363265991211,740174
2020-09-08,114.08065523318892,115.72317929701371,106.96305601982802,109.50150299072266,845613
2020-09-09,105.51963222278462,114.42906983008235,105.12144341241392,110.94493103027344,798343
2020-09-10,112.73678072463814,115.42454199537696,110.4969771340824,111.1938018798828,731283
2020-09-11,119.9041392853356,133.34295972007246,119.75482513413854,130.95384216308594,11027186
2020-09-14,126.42445855121647,128.76381484435836,119.60550305383524,120.35210418701172,3503925
2020-09-15,121.4471247944079,124.83171831583898,116.7684271230431,118.21185302734376,1262738
2020-09-16,119.35664509096192,121.44712690395116,116.3702403310287,120.15301513671876,749709
2020-09-17,119.45619074498026,120.80007137189727,115.5738630268044,117.16661071777344,616594
2020-09-18,118.06253454926842,120.35211459357872,114.72771738502352,116.32046508789062,1105400
2020-09-21,117.41546890960068,118.75935702979,107.3612418005863,110.39742279052734,1758904
2020-09-22,110.44719250376338,111.89062593434102,106.51509619613302,108.5558090209961,574753
2020-09-23,110.39742810589529,115.37476925048188,108.05807928690352,110.44719696044922,1230845
2020-09-24,109.50151465404991,112.43814314548034,107.5105780239763,108.2571792602539,388647
2020-09-25,109.6010528925025,111.49244408795866,108.75490639829896,109.40196228027344,473902
2020-09-28,111.04448644250613,118.95845600042207,110.8453882354042,116.0218276977539,5291935
2020-09-29,116.4697825531714,116.96751666664647,111.24357436168292,112.93586730957033,1304995
2020-09-30,112.48791397402832,117.36570999275108,112.23904690771408,114.82726287841795,1287726
2020-10-01,116.17113347524146,118.56025862429624,113.8317847730747,115.37476348876952,1655056
2020-10-05,115.52408841071885,117.11683602227164,113.0851867477233,113.4833755493164,319039
