date,close,high,low,open,volume
2015-01-01,516.851806640625,520.3302622439782,507.87299998031017,517.4651012812539,24815
2015-01-02,519.8128662109375,523.1858700097138,513.6225436039725,513.6225436039725,16120
2015-01-05,531.4174194335938,534.7042143059572,515.73085065702,523.0135369911118,7145
2015-01-06,521.0298461914062,528.1976041122141,516.4973372537961,528.1976041122141,13120
2015-01-07,530.1046142578125,533.4968026982638,517.4844614083624,517.4844614083624,11765
2015-01-08,551.0040893554688,573.6092047691047,531.8294714850837,536.4194741566286,13065
2015-01-09,560.4141235351562,574.9507793637036,539.7350441276767,539.7350441276767,7125
2015-01-12,570.724853515625,584.5332274662392,565.7323437470237,574.5482664160479,9715
2015-01-13,575.8131713867188,593.1574947695037,572.0759682995052,593.1574947695037,5730
2015-01-14,574.1554565429688,584.5333352484175,570.3512266807783,584.3416732771611,4320
2015-01-15,567.95556640625,583.3833891913183,557.8939275932875,579.7420458897452,3865
2015-01-16,576.1006469726562,584.5332460377657,562.3688905705202,562.3688905705202,1885
2015-01-19,590.6947631835938,592.1992245427017,576.8672057843146,586.4305337690154,12180
2015-01-20,590.9055786132812,593.8953174391964,568.3866772143771,593.8953174391964,11715
2015-01-21,592.6880493164062,598.9070911934356,581.2752430338926,581.2752430338926,14855
2015-01-22,585.261474609375,596.4442490174198,582.6166921096402,596.4442490174198,12010
2015-01-23,592.2949829101562,595.0739345015035,578.984919549933,593.1478404280463,16010
2015-01-27,590.828857421875,608.4798254015991,588.5578071103943,595.8404917018172,8225
2015-01-28,592.160888671875,598.9069555640255,577.8254307281718,577.8446144665922,16305
2015-01-29,593.5695190429688,599.2136325075536,590.2731326574278,599.2040406378702,8140
2015-01-30,594.2211303710938,603.698248660762,584.7344786986313,597.9199659212437,21870
2015-02-02,592.7550659179688,603.640785921618,584.7153240113611,587.6858794480389,9530
2015-02-03,593.5311279296875,600.8138124662148,588.5578026739452,594.1060551610441,2615
2015-02-04,591.5762939453125,603.5065318529419,590.5701419864293,597.9486871632488,6910
2015-02-05,588.557861328125,599.8460293333926,584.6769559122013,599.8460293333926,14485
2015-02-06,589.4490356445312,594.1157140745107,580.8918598779959,594.1157140745107,1820
2015-02-09,588.2416381835938,589.1807056097763,574.9506991993951,574.9506991993951,4475
2015-02-10,585.6064453125,596.990473793494,577.8254505577478,588.2416360074151,8400
2015-02-11,582.5975341796875,593.7324082214841,580.7960172808451,593.1382971683563,52255
2015-02-12,585.6448364257812,596.0323062104243,582.6263799350934,584.5428825274098,8570
2015-02-13,584.3894653320312,593.9240763781783,580.7002216421455,593.9144845083482,42900
2015-02-16,591.5571899414062,595.8405444439562,584.7248546653277,595.8405444439562,5430
2015-02-18,590.8001098632812,599.4531453367179,584.5331687487396,599.4531453367179,45045
2015-02-19,620.247314453125,653.3357001904914,594.1157837642925,599.8556994785444,18575
2015-02-20,656.3157958984375,693.7738605978757,620.2472656069857,620.2472656069857,73425
2015-02-23,642.4786376953125,675.3850088030069,637.4286937705601,655.4438041762479,28130
2015-02-24,638.1569213867188,658.5101653218468,634.745549822091,650.6524946318374,8885
2015-02-25,618.3306884765625,650.6524784470528,610.4059333884721,638.1952145003493,21645
2015-02-26,622.451171875,632.4457237947091,613.280701861536,618.3019282501066,5000
2015-02-27,635.1575927734375,642.0378286506578,622.4415819649186,624.7605332497686,22015
2015-03-02,617.947509765625,643.9448721552593,611.6996925877968,643.9448721552593,35155
2015-03-03,618.8290405273438,621.1863596075581,604.0336392023781,613.6736442329741,5295
2015-03-04,615.9927368164062,625.1632093305649,605.8352373297744,622.8633826766426,43790
2015-03-05,624.5977783203125,632.2541968592794,608.7291391112957,608.7291391112957,8735
2015-03-09,628.6031494140625,656.2103621300264,613.2807232032037,656.2103621300264,11790
2015-03-10,628.1624145507812,634.3622715173752,615.1972482086933,615.1972482086933,7310
2015-03-11,641.38623046875,643.7530826316539,621.866660078519,627.9515312192771,7735
2015-03-12,649.77099609375,652.5690732473163,632.6470516700244,651.5341455653625,7050
2015-03-13,644.490966796875,663.1097791555918,634.3622453771702,663.1097791555918,275145
2015-03-16,668.7539672851562,693.4960211489037,639.1535726498417,640.1214157534556,162225
2015-03-17,664.6142578125,677.0715227754062,647.9310725209909,668.7539098032298,11135
2015-03-18,657.1495361328125,668.8593377252395,647.777811321292,662.8510839842706,5005
2015-03-19,641.05078125,670.037876079392,623.639375707351,656.7661221721413,62360
