date,close,high,low,open,volume
2015-01-01,1131.143798828125,1156.739033879641,1105.5050919015298,1112.457904136937,111455
2015-01-02,1119.4105224609375,1149.829257443284,1115.934058878432,1141.7900011424033,50549
2015-01-05,1119.67138671875,1142.0073965283084,1116.8032951146167,1128.1017740558225,39947
2015-01-06,1109.502685546875,1119.36705900923,1087.514219747579,1118.063370548513,64200
2015-01-07,1093.51123046875,1122.8001677235125,1089.0787359844917,1119.3237037527188,45574
2015-01-08,1119.4105224609375,1147.2219974012896,1098.5519746855969,1098.5519746855969,76715
2015-01-09,1099.464599609375,1132.3602978906072,1091.5991134258104,1125.450842171448,137732
2015-01-12,1101.1595458984375,1112.4145546441025,1094.5543917709924,1106.2872405652602,38742
2015-01-13,1104.896484375,1133.3163335232512,1100.290219494506,1101.1593062316051,90929
2015-01-14,1097.248291015625,1131.577974640468,1089.860878908016,1103.7666164387824,58719
2015-01-15,1102.15869140625,1118.5413895115623,1095.9880243109806,1096.8136390944833,47663
2015-01-16,1109.372314453125,1119.4105757714565,1089.7739823323486,1095.9446499767394,74290
2015-01-19,1106.4608154296875,1138.530896908124,1103.114767436115,1113.3267988688783,104746
2015-01-20,1107.5037841796875,1131.578083643248,1099.421172061843,1108.199100338166,73156
2015-01-21,1105.1573486328125,1122.8002675427465,1101.1594556119298,1108.112384171647,49776
2015-01-22,1108.8944091796875,1128.9708158893109,1103.9839579550685,1108.9813529138885,56419
2015-01-23,1126.7110595703125,1146.1790932166375,1115.0650402470187,1115.0650402470187,169680
2015-01-27,1144.70166015625,1166.255525826365,1131.273878334189,1135.0110565481004,171146
2015-01-28,1159.1724853515625,1175.0336425127514,1147.222277638634,1147.222277638634,125523
2015-01-29,1135.271728515625,1157.4339657719977,1130.6654637201384,1155.913034795179,46328
2015-01-30,1115.84716796875,1147.2220517026942,1106.3739240393684,1144.6146746774384,45507
2015-02-02,1095.0322265625,1125.4944386188954,1091.5992342557374,1112.4577855992602,65479
2015-02-03,1098.6824951171875,1112.4578197780463,1091.2950815510658,1098.552196361711,47495
2015-02-04,1101.898193359375,1120.2363107994076,1097.769884911948,1106.547930523999,45751
2015-02-05,1099.8123779296875,1108.1124676992115,1090.947504364707,1107.15643702869,265480
2015-02-06,1112.8487548828125,1120.236167155255,1103.7666410668533,1104.5487840423573,56040
2015-02-09,1102.1153564453125,1116.7164112136668,1091.5991379603456,1115.065064581696,31316
2015-02-10,1185.4195556640625,1208.9288409231156,1082.213004572667,1095.032299089121,645300
2015-02-11,1181.8126220703125,1223.6601412435984,1170.9488611866896,1195.0230459880563,193402
2015-02-12,1183.55078125,1194.9360864662426,1165.4732626450811,1185.462725358337,73308
2015-02-13,1195.71826171875,1207.9726540163863,1181.986410218537,1183.7245837674675,119644
2015-02-16,1253.03564453125,1263.6821596887442,1192.2850081966935,1199.3682333022443,263145
2015-02-18,1265.116455078125,1268.636273804717,1255.8604536817627,1255.8604536817627,177840
2015-02-19,1236.783447265625,1326.518717418705,1226.3107019686822,1268.8969992147984,184309
2015-02-20,1230.0914306640625,1255.8604297425147,1221.9652304667154,1236.7400549274562,65515
2015-02-23,1227.1365966796875,1253.6878599385402,1217.6633514481405,1234.1328801407064,44148
2015-02-24,1195.7618408203125,1233.2638091075512,1191.5467053132274,1231.5256354027442,41261
2015-02-25,1234.0460205078125,1254.1223116457522,1199.3685566407312,1199.3685566407312,201309
2015-02-26,1202.671142578125,1243.6929248627846,1195.5009724645752,1238.4782875601632,121805
2015-02-27,1225.1376953125,1229.7004888244328,1207.3643612614474,1207.3643612614474,150537
2015-03-02,1217.185302734375,1238.4784566522171,1209.7978891420546,1220.2272820310989,59739
2015-03-03,1207.4078369140625,1238.4784216229673,1201.4110559538433,1221.096334352605,64532
2015-03-04,1207.538330078125,1223.7036734463502,1205.9304550580398,1211.536223261651,215097
2015-03-05,1194.2840576171875,1214.1431016617337,1190.6771787110215,1211.5358418115643,50304
2015-03-09,1164.38671875,1198.2819138103412,1160.2584113688704,1190.6771432061462,36288
2015-03-10,1154.522705078125,1183.8984720172318,1135.9237554450633,1162.952976173962,157934
2015-03-11,1141.3121337890625,1191.5465632096823,1135.0545222222472,1158.5204487379488,55572
