date,open,high,low,close,volume
2024-04-12,748.1994452277194,872.0735255634345,748.1994452277194,805.9743041992188,53465498
2024-04-15,778.4246879453557,812.6139326737003,775.9472064433016,798.839111328125,5068261
2024-04-16,808.6499636828999,909.4339234595742,806.6679784777947,895.36181640625,13031759
2024-04-18,912.7042128647232,1006.4025539993058,898.0375340276014,960.4205322265624,13608473
2024-04-19,941.3934807040074,977.9115356910344,917.80786771256,938.6187133789062,5137294
2024-04-22,946.2988947671564,984.600723956754,897.8393305467987,918.4519653320312,3677669
2024-04-23,916.6681318746422,931.3348098875592,898.9293405879945,918.8483276367188,2346573
2024-04-24,922.217713534888,965.6727764749706,903.7852748859748,909.5330200195312,1271044
2024-04-25,908.6411409631284,912.852859521606,892.8843343972569,900.0690307617188,988092
2024-04-26,901.4068436985222,910.7221983216476,867.5149452069629,886.591552734375,1067575
2024-04-29,887.4834369072444,890.2582041716896,864.6410689032118,876.1861572265625,878004
2024-04-30,874.0555154367877,881.2402121339721,853.4428804578056,858.6951293945312,617812
2024-05-02,857.2086517543545,888.3258455035248,846.4564055767947,870.8843383789062,821324
2024-05-03,872.073514250783,874.352785202315,857.2086248033265,863.5014038085938,433165
2024-05-06,868.7041121302827,921.6231425755508,857.4563700145112,898.2852783203125,1320523
2024-05-07,906.7582409861728,910.1276400648673,862.2626484638432,878.1185302734375,834415
2024-05-08,872.0734917050144,879.010439934486,850.5194025634415,862.014892578125,1675583
2024-05-09,862.163560442334,875.9879192844353,855.226612254867,860.8257446289062,707120
2024-05-10,861.0735069470915,901.8032792095428,859.5870180253175,894.4699096679688,647972
2024-05-13,900.7132388628266,904.776284511493,870.7357113639519,892.0420532226562,470673
2024-05-14,891.8933550238677,903.785266424186,876.978928239713,891.5960693359375,440688
2024-05-15,926.578084920788,953.3348852340084,888.2761965745593,945.4564819335938,2431049
2024-05-16,954.127708559991,971.1232566524324,926.677200137403,933.11865234375,904640
2024-05-17,936.2898058165956,970.082690108312,931.5330533857464,957.8934326171876,814452
2024-05-21,958.8349087746702,958.8349087746702,925.537580541261,933.2177734375,585751
2024-05-22,936.4880155991876,961.2628308266796,931.0375562491396,956.0601196289062,463341
2024-05-23,958.2898613008426,1028.2044388667905,957.5466168375792,993.2223510742188,2089917
2024-05-24,996.9385747029296,1024.6863680346214,983.3619637257024,1012.843994140625,800713
2024-05-27,1021.366574228917,1028.6503458362024,1002.884537558995,1019.1368408203124,486858
2024-05-28,1020.6728164943128,1028.1052612601943,972.3619860014732,980.8349609375,448053
2024-05-29,981.0826801358996,1021.6143019235482,977.2673827961931,1010.0692138671876,258009
2024-05-30,1010.465654995765,1022.704389729084,998.821491643714,1001.3485107421876,328974
2024-05-31,1007.8395077205236,1045.4972277730112,978.6052250481978,1014.181884765625,967409
2024-06-03,1065.3170221352418,1080.1323127989526,1030.6322818796757,1063.2359619140625,555233
2024-06-04,1051.4927243063175,1051.5422013528018,901.2582130429632,951.5510864257812,1477151
2024-06-05,962.1547647898008,1038.5602720612171,927.6186354820272,1011.1593017578124,1704385
2024-06-06,1012.8934784070872,1057.3394708372025,1005.9069929077076,1046.3394775390625,507070
2024-06-07,1053.0782339301502,1078.8440396546464,1030.632228979849,1061.5511474609375,435943
2024-06-10,1070.2720545586044,1108.9207676398871,1053.5242546958923,1081.1729736328125,502256
2024-06-11,1089.1008589272583,1089.6954302884776,1048.470162643348,1067.8441162109375,364656
2024-06-12,1077.159419041904,1107.880191377648,1068.2900831590912,1100.2991943359375,980726
2024-06-13,1104.1143703467524,1107.9296674582465,1072.5512819214564,1081.47021484375,304749
2024-06-14,1083.1549718409988,1084.1459644959311,1053.4747902140898,1067.596435546875,346464
2024-06-18,1073.2450327240406,1163.920859588537,1071.758543759049,1144.3487548828125,643266
2024-06-19,1143.5064599014352,1151.4344012184108,1093.857751598032,1138.254150390625,1060621
2024-06-20,1139.6414843663829,1154.506373292901,1112.0423647869693,1123.0423583984375,609306
2024-06-21,1124.7269804642951,1137.6594820236928,1075.2765474909295,1108.22705078125,488207
2024-06-24,1102.974690487538,1148.0648507904878,1094.6503290066862,1110.208984375,466281
2024-06-25,1123.438847012961,1163.375778408437,1116.947796737414,1150.393798828125,535989
2024-06-26,1156.6865558625873,1356.2724968628877,1155.4974130882017,1245.826416015625,3226448
2024-06-27,1268.2723822039593,1268.2723822039593,1141.6234791026936,1174.72265625,2074101
2024-06-28,1213.966044702098,1231.7048380392494,1081.1730243020318,1106.7901611328125,3848210
2024-07-01,1115.8577191868874,1123.5875102125517,1065.416169320784,1089.9432373046875,1073344
2024-07-02,1095.0964790350372,1108.920778149119,1065.3171014390557,1070.47021484375,626986
2024-07-03,1075.1773104072922,1093.0151761691436,1061.402610845589,1074.1368408203125,508390
2024-07-04,1084.1458767173474,1088.1098470161312,1050.6998773213595,1063.880126953125,1302432
2024-07-05,1079.1909770730276,1097.524340779043,1059.1233762596862,1085.3350830078125,475800
2024-07-08,1090.0918530233332,1091.0828456169909,1057.884593729462,1063.533203125,570540
2024-07-09,1063.8306139520205,1066.2584975657403,1043.3171144047894,1061.0557861328125,1622774
2024-07-10,1062.4431329421702,1066.0602800945826,1020.7223690424544,1045.3485107421875,738766
2024-07-11,1051.5918164103432,1062.3440618722643,1031.6232914263314,1038.163818359375,482359
2024-07-12,1053.4252005544731,1093.0153090449471,1053.37560253302,1080.826171875,620344
2024-07-15,1081.1729292679747,1081.2225272864075,1052.4837418154898,1055.7044677734375,653277
2024-07-16,1139.641505170509,1156.4883795947687,1093.064852350497,1130.6729736328125,3931298
2024-07-18,1130.6729890917957,1161.4433585404145,1101.9838009359564,1127.3037109375,999253
2024-07-19,1127.5514792744757,1169.371320483101,1115.9567927516234,1128.393798828125,1094689
2024-07-22,1110.9522291422552,1130.7224818163816,1094.4521792493788,1100.7945556640625,390077
2024-07-23,1100.0017866350502,1134.3891814865922,1073.591809635648,1105.00634765625,478433
2024-07-24,1109.911722972973,1161.4433386824323,1109.911722972973,1145.835205078125,576486
2024-07-25,1131.7135613079863,1160.1550008439656,1120.663969505614,1128.4432373046875,524592
2024-07-26,1134.686502144346,1166.348666632466,1134.1910058551998,1158.9658203125,548441
2024-07-29,1163.3757334076854,1192.8577637398382,1140.2360800134118,1155.3983154296875,348308
2024-07-30,1161.4433450546726,1184.9298216474156,1157.7271227475435,1164.812744140625,275584
2024-07-31,1169.3216926622897,1173.5334112939815,1119.9207347882457,1127.155029296875,291721
2024-08-01,1132.1100186512642,1157.4298080771805,1131.564924309738,1145.78564453125,285087
2024-08-02,1134.6865465831102,1153.4658082889036,1127.4027750415578,1138.00634765625,634889
2024-08-05,1122.8442438536708,1138.6505278581683,1085.830572476958,1104.80810546875,354535
2024-08-06,1139.6414807502863,1139.6414807502863,1048.4205642723557,1082.362060546875,1122135
2024-08-07,1090.0422970400598,1123.785644543637,1058.4792059090703,1115.80810546875,431225
2024-08-08,1125.470273388442,1134.884703305567,1113.380211777919,1119.9703369140625,176544
2024-08-09,1120.0693732911477,1130.722543618845,1116.1054029366558,1121.456787109375,245508
2024-08-12,1118.0875274494842,1149.5019480353749,1098.6640944860887,1138.501953125,153938
2024-08-13,1139.641534005494,1161.4433720473382,1091.0828947304774,1125.3712158203125,602521
2024-08-14,1120.7629921693494,1123.5378197376056,1098.0197612077327,1117.3441162109375,90832
2024-08-16,1138.8258261287046,1168.5620244787128,1131.7149776143478,1141.7099609375,191971
2024-08-19,1143.6990068498524,1143.6990068498524,1116.9463710180262,1121.96875,211087
2024-08-20,1130.770225179282,1152.948089062209,1122.5156534269706,1148.621826171875,220974
2024-08-21,1148.671572867152,1153.4453214708244,1128.0352653892355,1133.3062744140625,243154
2024-08-22,1141.7099575677712,1143.5995714990925,1108.8907688920424,1113.8135986328125,524206
2024-08-23,1107.8961743788968,1139.2235796687849,1107.8961743788968,1136.4886474609375,527843
2024-08-26,1137.7815632780307,1165.0811105209448,1137.7815632780307,1161.10302734375,379434
2024-08-27,1173.5345828711493,1200.4364199628085,1163.6391491439674,1175.2252197265625,339220
2024-08-28,1186.363886336637,1186.363886336637,1167.4182165402617,1171.4957275390625,128087
2024-08-29,1178.5570221693051,1180.4962893325555,1160.6556462569329,1168.8106689453125,148366
2024-08-30,1203.3701710300509,1252.947008754591,1190.3419727975393,1245.1898193359375,1038463
2024-09-02,1261.002644816019,1261.698882241753,1216.7464676361153,1224.901611328125,185227
2024-09-03,1221.2716129303958,1235.0954771290392,1213.365220674375,1225.1502685546875,136343
2024-09-04,1183.529562674052,1218.2880171328884,1183.529562674052,1201.4805908203125,246688
2024-09-05,1212.3208470864026,1216.9453930557454,1187.557255051843,1198.14892578125,187446
2024-09-06,1204.314985205088,1204.314985205088,1168.9598415214496,1192.5797119140625,222579
2024-09-09,1175.623086108525,1197.452891859513,1163.589407964571,1190.14306640625,194942
2024-09-10,1190.1928434861609,1231.714089540514,1190.1928434861609,1220.277099609375,163250
2024-09-11,1233.1064086581378,1242.5543565987696,1215.7519472315691,1229.177978515625,143191
2024-09-12,1233.2058581645233,1295.661816316025,1233.2058581645233,1283.9761962890625,414532
2024-09-13,1333.553037353072,1445.983547052183,1322.7127357646316,1353.19482421875,3446413
2024-09-16,1372.4387465572524,1373.433267388091,1317.54124525555,1325.0498046875,295656
2024-09-17,1325.0498716772502,1384.373066516233,1317.740167481328,1365.676025390625,328764
2024-09-18,1357.471120106643,1400.7327749929204,1331.1163188540831,1373.4332275390625,486368
2024-09-19,1384.4228264237963,1390.3401770430396,1337.232738274835,1351.6036376953125,477694
2024-09-20,1355.9793621939857,1461.9456040259795,1338.9730804682629,1439.0218505859375,575018
2024-09-23,1431.1653243558865,1463.934738869863,1404.3629137347414,1452.00048828125,468508
2024-09-24,1451.503168127767,1451.503168127767,1352.2002863871237,1360.90234375,916990
2024-09-25,1372.2895777968376,1422.065395161253,1358.6149160375444,1413.66162109375,455647
2024-09-26,1425.9439769999956,1444.8398722715458,1411.0758181428175,1421.07080078125,183820
2024-09-27,1434.0492704313572,1559.4086703279374,1405.1585129960738,1495.8587646484375,775702
2024-09-30,1469.6033841902135,1474.526335147165,1413.611934215997,1435.5908203125,545659
2024-10-01,1432.1099673958015,1441.955747701941,1385.3674892932995,1389.9422607421875,393493
2024-10-03,1382.38392296214,1417.540209240632,1368.5104062527105,1379.3505859375,323409
2024-10-04,1392.2793512543042,1469.2552857783007,1340.8626742386698,1399.290771484375,1206208
2024-10-07,1410.23052301326,1410.23052301326,1352.6477432446254,1378.1572265625,273864
2024-10-08,1372.4387407825452,1487.8031566744112,1372.4387407825452,1464.28271484375,1231346
2024-10-09,1448.0224017082255,1448.0224017082255,1409.2360873767554,1424.1041259765625,559806
2024-10-10,1424.800254694102,1450.0113328051746,1423.2586988867065,1431.861328125,186057
2024-10-11,1427.1374275730093,1441.955812599532,1424.1538650066543,1437.48046875,201714
2024-10-14,1446.0333353031228,1475.8689612034625,1402.373845121998,1464.780029296875,993634
2024-10-15,1489.2949786061183,1501.7264892789574,1453.4922278683418,1465.7745361328125,293544
2024-10-16,1467.5647535397263,1551.3033626578845,1463.934728065519,1508.986572265625,1210047
2024-10-17,1508.6881283820626,1530.567587066575,1483.327846725014,1492.228759765625,208611
2024-10-18,1488.7479422621805,1524.3020627551257,1439.3203044311783,1498.3450927734375,203752
2024-10-21,1491.781208409933,1508.3400041035763,1466.072869865295,1501.2789306640625,142587
2024-10-22,1507.6935910843483,1513.660716115025,1397.2520034143167,1419.728271484375,177238
2024-10-23,1421.3195360149405,1486.8087115021483,1405.1585717594824,1450.3594970703125,170685
2024-10-24,1442.055239720406,1466.8188332896923,1428.7784105867229,1457.0228271484375,974841
2024-10-25,1457.0228229269103,1464.7303595306705,1408.3409543758255,1418.3359375,306147
2024-10-28,1412.2196091046835,1471.2443973598563,1410.5289722177524,1455.182861328125,282542
2024-10-29,1472.1394377083852,1475.8191161665595,1385.3674965227365,1417.6396484375,619075
2024-10-30,1414.5567301272802,1427.137443368278,1388.947817815968,1421.2200927734375,333692
2024-10-31,1412.2196257676585,1424.9495413774207,1377.8092281806564,1402.0755615234375,204404
2024-11-01,1426.8389513564111,1426.8389513564111,1406.2524192393075,1414.3577880859375,15719
2024-11-04,1414.3080151016393,1414.3577897025666,1369.305948592932,1377.3118896484375,257575
2024-11-05,1365.9743870095456,1415.203169067771,1348.570272140476,1407.7442626953125,432072
2024-11-06,1407.7443058682968,1465.9237773577318,1404.2634827877323,1458.7135009765625,298817
2024-11-07,1461.8461963251968,1461.8461963251968,1400.2853324982812,1407.2967529296875,676113
2024-11-08,1413.9102935964795,1413.9102935964795,1364.4826541742275,1371.7923583984375,170296
2024-11-11,1378.7539771361046,1395.3127738213352,1350.2609300689385,1367.267333984375,846790
2024-11-12,1367.4163548147235,1405.7054064383822,1348.3713782062075,1367.167724609375,201403
2024-11-13,1366.521456688726,1435.5908828885156,1362.8416566107876,1418.186767578125,1418503
2024-11-14,1395.6111302573734,1435.5908190902232,1392.677220965979,1414.009765625,872704
2024-11-18,1416.3965272577643,1416.3965272577643,1372.438754830309,1387.3565673828125,476258
2024-11-19,1391.3844740102948,1403.0203196477407,1384.422827908906,1388.251708984375,213167
2024-11-21,1392.2794321563847,1392.329206760072,1349.216751673903,1358.913330078125,166125
2024-11-22,1358.863494929905,1363.6868966152642,1298.6453322614518,1321.966796875,582698
2024-11-25,1335.7906939433003,1346.3823651966882,1287.954265697227,1315.3035888671875,632077
2024-11-26,1354.63682726928,1376.914118618593,1295.3634088123636,1301.479736328125,921762
2024-11-27,1301.9271903086094,1346.581199719941,1277.9592626588803,1312.41943359375,1065130
2024-11-28,1320.7236402671756,1324.3038909153174,1294.7666713163144,1302.822265625,561860
2024-11-29,1311.7730018103875,1389.34562814944,1303.8666096094955,1368.6595458984375,1117525
2024-12-02,1381.0910719621056,1402.125212465526,1369.0573938168766,1382.7320556640625,292281
2024-12-03,1392.3291776398466,1413.5621733185606,1373.831114274354,1380.4447021484375,179276
2024-12-04,1387.4559747861892,1397.2519806046737,1351.0565369735623,1390.986572265625,281257
2024-12-05,1392.3291894953768,1406.2524813903306,1379.450193053133,1401.2301025390625,404409
2024-12-06,1402.22461054811,1428.082152401953,1394.417646230224,1413.0152587890625,185872
2024-12-09,1419.927100797518,1465.3766537122922,1415.9987921189877,1449.8125,334580
2024-12-10,1458.6140551136857,1460.9511548728406,1389.19644997711,1399.4400634765625,248823
2024-12-11,1407.296748271095,1407.296748271095,1380.643541481299,1398.9427490234375,192981
2024-12-12,1406.1530267823143,1432.1099961828345,1393.6220885960083,1414.009765625,263617
2024-12-13,1402.224603977516,1501.726462167124,1394.3679864953006,1476.31640625,768429
2024-12-16,1487.604350846192,1499.488826561785,1433.6515941949056,1441.359130859375,283163
2024-12-17,1437.331258840902,1454.7851483235854,1421.0210926163138,1442.3536376953125,290568
2024-12-18,1447.425644129558,1600.482424555792,1434.9941337213431,1537.3800048828125,4377328
2024-12-19,1506.5996045820586,1536.484882185477,1473.8798455391222,1498.24560546875,1083220
2024-12-20,1500.2347488624102,1555.9279181937295,1448.2710328345277,1495.361572265625,5950092
2024-12-23,1505.7046046915725,1513.4121414725234,1444.5415708814458,1480.891357421875,448225
2024-12-24,1469.5537964912428,1496.1572299204329,1458.4150898407536,1482.9300537109375,194746
2024-12-26,1482.9300124300232,1483.6262498646263,1437.0826256095556,1449.066650390625,171574
2024-12-27,1464.8794351396605,1474.8246436239965,1446.0830882254422,1453.343017578125,110770
2024-12-30,1463.9844986542137,1554.1377186085329,1436.1379142293492,1511.423095703125,366617
